feature_set,question_id,chunk_id,label,positive_prob,trigger_score
hidden_only_clean_no_unknown,4,0,1,0.9811705350875854,0.01882946491241455
hidden_only_clean_no_unknown,4,1,1,0.9794219732284546,0.02057802677154541
hidden_only_clean_no_unknown,4,2,1,0.946862518787384,0.05313748121261597
hidden_only_clean_no_unknown,4,3,1,0.8397008180618286,0.1602991819381714
hidden_only_clean_no_unknown,4,4,1,0.9834820032119751,0.016517996788024902
hidden_only_clean_no_unknown,4,5,0,0.7843849658966064,0.21561503410339355
hidden_only_clean_no_unknown,4,6,0,0.7098918557167053,0.2901081442832947
hidden_only_clean_no_unknown,4,7,1,0.902370810508728,0.09762918949127197
hidden_only_clean_no_unknown,4,8,1,0.7511661052703857,0.24883389472961426
hidden_only_clean_no_unknown,4,9,1,0.7373095154762268,0.2626904845237732
hidden_only_clean_no_unknown,4,10,1,0.7261437773704529,0.2738562226295471
hidden_only_clean_no_unknown,4,11,1,0.8801839351654053,0.11981606483459473
hidden_only_clean_no_unknown,4,12,1,0.6852474808692932,0.3147525191307068
hidden_only_clean_no_unknown,4,13,1,0.6320765018463135,0.3679234981536865
hidden_only_clean_no_unknown,4,14,1,0.9107806086540222,0.08921939134597778
hidden_only_clean_no_unknown,4,15,1,0.8823272585868835,0.11767274141311646
hidden_only_clean_no_unknown,4,16,1,0.8198409676551819,0.18015903234481812
hidden_only_clean_no_unknown,4,17,1,0.8167673349380493,0.18323266506195068
hidden_only_clean_no_unknown,4,18,1,0.8732906579971313,0.12670934200286865
hidden_only_clean_no_unknown,4,19,1,0.7904760241508484,0.2095239758491516
hidden_only_clean_no_unknown,4,20,1,0.6858167052268982,0.3141832947731018
hidden_only_clean_no_unknown,4,21,1,0.8864727020263672,0.11352729797363281
hidden_only_clean_no_unknown,4,22,1,0.9051374793052673,0.09486252069473267
hidden_only_clean_no_unknown,4,23,1,0.9054333567619324,0.09456664323806763
hidden_only_clean_no_unknown,4,24,1,0.7587247490882874,0.24127525091171265
hidden_only_clean_no_unknown,4,25,1,0.8207502365112305,0.17924976348876953
hidden_only_clean_no_unknown,4,26,1,0.7351428866386414,0.26485711336135864
hidden_only_clean_no_unknown,4,27,1,0.6776148676872253,0.32238513231277466
hidden_only_clean_no_unknown,4,28,1,0.8838761448860168,0.11612385511398315
hidden_only_clean_no_unknown,4,29,1,0.8732073903083801,0.12679260969161987
hidden_only_clean_no_unknown,4,30,1,0.8533708453178406,0.14662915468215942
hidden_only_clean_no_unknown,4,31,1,0.8224538564682007,0.17754614353179932
hidden_only_clean_no_unknown,4,32,1,0.8438254594802856,0.15617454051971436
hidden_only_clean_no_unknown,4,33,1,0.8316595554351807,0.16834044456481934
hidden_only_clean_no_unknown,4,34,1,0.7065589427947998,0.2934410572052002
hidden_only_clean_no_unknown,4,35,1,0.8800899386405945,0.11991006135940552
hidden_only_clean_no_unknown,4,36,1,0.8945582509040833,0.10544174909591675
hidden_only_clean_no_unknown,4,37,1,0.8982858061790466,0.10171419382095337
hidden_only_clean_no_unknown,4,38,1,0.8008415102958679,0.19915848970413208
hidden_only_clean_no_unknown,4,39,1,0.9539982676506042,0.04600173234939575
hidden_only_clean_no_unknown,4,40,1,0.8035610318183899,0.1964389681816101
hidden_only_clean_no_unknown,4,41,1,0.837044358253479,0.162955641746521
hidden_only_clean_no_unknown,4,42,1,0.7594083547592163,0.2405916452407837
hidden_only_clean_no_unknown,4,43,1,0.7059033513069153,0.2940966486930847
hidden_only_clean_no_unknown,4,44,1,0.8178422451019287,0.1821577548980713
hidden_only_clean_no_unknown,4,45,1,0.7119647264480591,0.2880352735519409
hidden_only_clean_no_unknown,4,46,1,0.7664889097213745,0.2335110902786255
hidden_only_clean_no_unknown,4,47,1,0.7399809956550598,0.2600190043449402
hidden_only_clean_no_unknown,4,48,1,0.8010209798812866,0.19897902011871338
hidden_only_clean_no_unknown,4,49,1,0.8675457835197449,0.13245421648025513
hidden_only_clean_no_unknown,4,50,0,0.7929558753967285,0.20704412460327148
